Date,Energy,Unemploy,Approval,rmn1173,rmn1173a,grf0175,grf575,grf575a,jec477,jec1177,jec479,grf0175s,jec479s,jec477s,freeze1,freeze2,embargo,hostages,oilc
Jan-74,217,5.1,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34.6
Feb-74,156,5.2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37.6
Mar-74,126,5.1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.3
Apr-74,54,5.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3
May-74,30,5.1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Jun-74,28,5.4,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8
Jul-74,21,5.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
Aug-74,22,5.5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2
Sep-74,47,5.9,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1
Oct-74,62,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7
Nov-74,45,6.6,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7
Dec-74,76,7.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4
Jan-75,120,8.1,37,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,32.5
Feb-75,105,8.1,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.6
Mar-75,75,8.6,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.3
Apr-75,31,8.8,41.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,35.1
May-75,39,9,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,34.1
Jun-75,62,8.8,51,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,34.9
Jul-75,73,8.6,52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.6
Aug-75,48,8.4,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.6
Sep-75,61,8.4,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.9
Oct-75,38,8.4,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33.6
Nov-75,24,8.3,42.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34.6
Dec-75,34,8.2,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5
Jan-76,13,7.9,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1
Feb-76,24,7.7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5
Mar-76,17,7.6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7
Apr-76,8,7.7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
May-76,20,7.4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8
Jun-76,23,7.6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Jul-76,23,7.8,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
Aug-76,21,7.8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Sep-76,9,7.6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8
Oct-76,13,7.7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8
Nov-76,28,7.8,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8
Dec-76,48,7.8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9
Jan-77,65,7.5,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8
Feb-77,63,7.6,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9
Mar-77,35,7.4,72.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Apr-77,72,7.2,65,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,33.8
May-77,47,7,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32.9
Jun-77,80,7.2,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34
Jul-77,53,6.9,64.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.8
Aug-77,37,7,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.4
Sep-77,49,6.8,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.9
Oct-77,62,6.8,54.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.8
Nov-77,42,6.8,55,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35.6
Dec-77,34,6.4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Jan-78,15,6.4,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7
Feb-78,26,6.3,48.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
Mar-78,31,6.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7
Apr-78,32,6.1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
May-78,32,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8
Jun-78,27,5.9,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7
Jul-78,21,6.2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7
Aug-78,30,5.9,40.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7
Sep-78,23,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
Oct-78,26,5.8,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.4
Nov-78,19,5.9,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3
Dec-78,38,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.5
Jan-79,17,5.9,46.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.3
Feb-79,57,5.9,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Mar-79,105,5.8,42.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7
Apr-79,116,5.8,40,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,36
May-79,169,5.6,34.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.2
Jun-79,144,5.7,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35
Jul-79,169,5.7,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.8
Aug-79,86,6,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.6
Sep-79,54,5.9,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36.1
Oct-79,88,6,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.5
Nov-79,47,5.9,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.1
Dec-79,74,6,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.2
Jan-80,44,6.3,57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,34.1
Feb-80,33,6.3,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.5
Mar-80,37,6.3,44.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,35.2
Apr-80,42,6.9,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,36.2
May-80,43,7.5,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.7
Jun-80,61,7.6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.8
Jul-80,27,7.8,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.3
Aug-80,17,7.7,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.9
Sep-80,47,7.5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.8
Oct-80,20,7.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.5
Nov-80,10,7.5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36.1
Dec-80,35,7.2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.8
Jan-81,25,7.5,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.6
Feb-81,31,7.4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.1
Mar-81,20,7.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7
Apr-81,19,7.2,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
May-81,29,7.5,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Jun-81,10,7.5,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Jul-81,19,7.2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Aug-81,31,7.4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9
Sep-81,29,7.6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.9
Oct-81,21,7.9,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8
Nov-81,34,8.3,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Dec-81,27,8.5,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7
Jan-82,16,8.6,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.9
Feb-82,20,8.9,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3
Mar-82,34,9,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8
Apr-82,13,9.3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4
May-82,24,9.4,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1
Jun-82,13,9.6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3
Jul-82,26,9.8,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2
Aug-82,22,9.8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3
Sep-82,8,10.1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
Oct-82,5,10.4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3
Nov-82,20,10.8,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Dec-82,45,10.8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4
Jan-83,23,10.4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1
Feb-83,36,10.4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.5
Mar-83,53,10.3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Apr-83,15,10.2,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2
May-83,22,10.1,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1
Jun-83,14,10.1,44.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2
Jul-83,18,9.4,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4
Aug-83,5,9.5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Sep-83,4,9.2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7
Oct-83,7,8.8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6
Nov-83,8,8.5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.2
Dec-83,9,8.3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2
