Approve,survey_house,end_date,sample_subpopulation,observations,mode
0.39,SurveyMonkey,7/27/2017,Adults,6864,Internet
0.39,Gallup,7/26/2017,Adults,1500,Live Phone
0.41,Rasmussen,7/26/2017,Likely Voters,1500,IVR/Online
0.39,YouGov/Economist,7/25/2017,Adults,1500,Internet
0.37,Gallup,7/25/2017,Adults,1500,Live Phone
0.42,Rasmussen,7/25/2017,Likely Voters,1500,IVR/Online
0.35,Ipsos/Reuters,7/25/2017,Adults,1532,Internet
0.36,Gallup,7/24/2017,Adults,1500,Live Phone
0.44,Politico/Morning Consult,7/24/2017,Registered Voters,3981,Internet
0.42,Rasmussen,7/24/2017,Likely Voters,1500,IVR/Online
0.44,Harris/Harvard,7/24/2017,Registered Voters,2032,Internet
0.37,Gallup,7/23/2017,Adults,1500,Live Phone
0.44,Rasmussen,7/23/2017,Likely Voters,1500,IVR/Online
0.39,Gallup,7/22/2017,Adults,1500,Live Phone
0.38,Gallup,7/21/2017,Adults,1500,Live Phone
0.37,Gallup,7/20/2017,Adults,1500,Live Phone
0.43,Rasmussen,7/20/2017,Likely Voters,1500,IVR/Online
0.35,ARG,7/20/2017,Adults,1100,Live Phone
0.42,SurveyMonkey,7/20/2017,Adults,8382,Internet
0.44,SurveyUSA/USA Today/iMediaEthics,7/19/2017,Adults,1250,Internet
0.36,Gallup,7/19/2017,Adults,1500,Live Phone
0.43,Rasmussen,7/19/2017,Likely Voters,1500,IVR/Online
0.41,FOX,7/18/2017,Registered Voters,1020,Live Phone
0.37,Gallup,7/18/2017,Adults,1500,Live Phone
0.42,Rasmussen,7/18/2017,Likely Voters,1500,IVR/Online
0.38,YouGov/Economist,7/18/2017,Adults,1500,Internet
0.38,Ipsos/Reuters,7/18/2017,Adults,1600,Internet
0.38,Gallup,7/17/2017,Adults,1500,Live Phone
0.41,PPP (D),7/17/2017,Likely Voters,836,IVR/Online
0.43,Rasmussen,7/17/2017,Likely Voters,1500,IVR/Online
0.42,Zogby,7/16/2017,Likely Voters,1031,Internet
0.39,Gallup,7/16/2017,Adults,1500,Live Phone
0.39,Monmouth University,7/16/2017,Adults,800,Live Phone
0.43,Rasmussen,7/16/2017,Likely Voters,1500,IVR/Online
0.43,Politico/Morning Consult,7/15/2017,Registered Voters,1994,Internet
0.38,Gallup,7/15/2017,Adults,1500,Live Phone
0.38,Gallup,7/14/2017,Adults,1500,Live Phone
0.43,Rasmussen,7/13/2017,Likely Voters,1500,IVR/Online
0.36,ABC/Post,7/13/2017,Adults,1001,Live Phone
0.39,Gallup,7/13/2017,Adults,1500,Live Phone
0.42,SurveyMonkey,7/13/2017,Adults,16514,Internet
0.44,Rasmussen,7/12/2017,Likely Voters,1500,IVR/Online
0.4,Bloomberg/Selzer,7/12/2017,Adults,1001,Live Phone
0.4,Gallup,7/11/2017,Adults,1500,Live Phone
0.37,YouGov/Economist,7/11/2017,Adults,1500,Internet
0.45,Rasmussen,7/11/2017,Likely Voters,1500,IVR/Online
0.4,Ipsos/Reuters,7/11/2017,Adults,1600,Internet
0.4,Gallup,7/10/2017,Adults,1500,Live Phone
0.45,Rasmussen,7/10/2017,Likely Voters,1500,IVR/Online
0.38,Kaiser FF,7/10/2017,Adults,1208,Live Phone
0.46,Politico/Morning Consult,7/9/2017,Registered Voters,1983,Internet
0.39,Gallup,7/9/2017,Adults,1500,Live Phone
0.45,Rasmussen,7/9/2017,Likely Voters,1500,IVR/Online
0.39,Gallup,7/8/2017,Adults,1500,Live Phone
0.38,Gallup,7/7/2017,Adults,1500,Live Phone
0.37,Gallup,7/6/2017,Adults,1500,Live Phone
0.45,Rasmussen,7/6/2017,Likely Voters,1500,IVR/Online
0.43,SurveyMonkey,7/6/2017,Adults,12338,Internet
0.37,Gallup,7/5/2017,Adults,1500,Live Phone
0.44,Rasmussen,7/5/2017,Likely Voters,1500,IVR/Online
0.38,YouGov/Economist,7/4/2017,Adults,1500,Internet
0.38,Ipsos/Reuters,7/4/2017,Adults,1600,Internet
0.37,Gallup,7/3/2017,Adults,1500,Live Phone
0.44,Rasmussen,7/3/2017,Likely Voters,1500,IVR/Online
0.39,Gallup,7/2/2017,Adults,1500,Live Phone
0.44,Rasmussen,7/2/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,7/1/2017,Adults,1500,Live Phone
0.38,Gallup,6/30/2017,Adults,1500,Live Phone
0.38,Gallup,6/29/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/29/2017,Likely Voters,1500,IVR/Online
0.41,SurveyMonkey,6/29/2017,Adults,10945,Internet
0.4,Gallup,6/28/2017,Adults,1500,Live Phone
0.45,Rasmussen,6/28/2017,Likely Voters,1500,IVR/Online
0.44,FOX,6/27/2017,Registered Voters,1017,Live Phone
0.39,Gallup,6/27/2017,Adults,1500,Live Phone
0.39,YouGov/Economist,6/27/2017,Adults,1500,Internet
0.46,Rasmussen,6/27/2017,Likely Voters,1500,IVR/Online
0.42,Suffolk/USA Today,6/27/2017,Registered Voters,1000,Live Phone
0.35,Ipsos/Reuters,6/27/2017,Adults,1620,Internet
0.4,Quinnipiac,6/27/2017,Registered Voters,1361,Live Phone
0.39,Gallup,6/26/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/26/2017,Likely Voters,1500,IVR/Online
0.36,Gallup,6/25/2017,Adults,1500,Live Phone
0.37,NPR/PBS NewsHour/Marist,6/25/2017,Adults,1205,Live Phone
0.47,Rasmussen,6/25/2017,Likely Voters,1500,IVR/Online
0.45,Politico/Morning Consult,6/24/2017,Registered Voters,1994,Internet
0.38,Gallup,6/24/2017,Adults,1500,Live Phone
0.39,Gallup,6/23/2017,Adults,1500,Live Phone
0.42,Gallup,6/22/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/22/2017,Likely Voters,1500,IVR/Online
0.43,SurveyMonkey,6/22/2017,Adults,13657,Internet
0.48,Harris/Harvard,6/21/2017,Registered Voters,2258,Internet
0.39,Gallup,6/21/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/21/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,6/20/2017,Adults,1500,Live Phone
0.4,YouGov/Economist,6/20/2017,Adults,1500,Internet
0.45,Rasmussen,6/20/2017,Likely Voters,1500,IVR/Online
0.4,NBC/WSJ,6/20/2017,Adults,900,Live Phone
0.37,ARG,6/20/2017,Adults,1100,Live Phone
0.38,Ipsos/Reuters,6/20/2017,Adults,2371,Internet
0.37,Gallup,6/19/2017,Adults,1500,Live Phone
0.44,Politico/Morning Consult,6/19/2017,Registered Voters,2051,Internet
0.47,Rasmussen,6/19/2017,Likely Voters,1500,IVR/Online
0.4,Kaiser FF,6/19/2017,Adults,1208,Live Phone
0.38,Gallup,6/18/2017,Adults,1500,Live Phone
0.36,CBS,6/18/2017,Adults,1214,Live Phone
0.48,Rasmussen,6/18/2017,Likely Voters,1500,IVR/Online
0.39,Pew,6/18/2017,Adults,2504,Live Phone
0.39,Gallup,6/17/2017,Adults,1500,Live Phone
0.39,Gallup,6/16/2017,Adults,1500,Live Phone
0.38,Gallup,6/15/2017,Adults,1500,Live Phone
0.5,Rasmussen,6/15/2017,Likely Voters,1500,IVR/Online
0.43,SurveyMonkey,6/15/2017,Adults,17092,Internet
0.38,Gallup,6/14/2017,Adults,1500,Live Phone
0.47,Rasmussen,6/14/2017,Likely Voters,1500,IVR/Online
0.36,Gallup,6/13/2017,Adults,1500,Live Phone
0.39,YouGov/Economist,6/13/2017,Adults,1500,Internet
0.45,Rasmussen,6/13/2017,Likely Voters,1500,IVR/Online
0.4,Ipsos/Reuters,6/13/2017,Adults,2371,Internet
0.36,Gallup,6/12/2017,Adults,1500,Live Phone
0.37,CNBC,6/12/2017,Adults,800,Live Phone
0.41,Zogby,6/12/2017,Likely Voters,1031,Internet
0.45,Politico/Morning Consult,6/12/2017,Registered Voters,1999,Internet
0.43,Rasmussen,6/12/2017,Likely Voters,1500,IVR/Online
0.41,PPP (D),6/11/2017,Likely Voters,811,IVR/Online
0.36,Gallup,6/11/2017,Adults,1500,Live Phone
0.35,AP-NORC,6/11/2017,Adults,1068,Live Phone/Online
0.46,Rasmussen,6/11/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,6/10/2017,Adults,1500,Live Phone
0.39,Gallup,6/9/2017,Adults,1500,Live Phone
0.37,Gallup,6/8/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/8/2017,Likely Voters,1500,IVR/Online
0.41,SurveyMonkey,6/8/2017,Adults,12770,Internet
0.37,Gallup,6/7/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/7/2017,Likely Voters,1500,IVR/Online
0.38,Gallup,6/6/2017,Adults,1500,Live Phone
0.45,Rasmussen,6/6/2017,Likely Voters,1500,IVR/Online
0.38,YouGov/Economist,6/6/2017,Adults,1500,Internet
0.38,Ipsos/Reuters,6/6/2017,Adults,2371,Internet
0.34,Quinnipiac,6/6/2017,Registered Voters,1361,Live Phone
0.37,IBD/TIPP,6/6/2017,Adults,903,Live Phone
0.38,Gallup,6/5/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/5/2017,Likely Voters,1500,IVR/Online
0.37,Gallup,6/4/2017,Adults,1500,Live Phone
0.46,Rasmussen,6/4/2017,Likely Voters,1500,IVR/Online
0.36,Gallup,6/3/2017,Adults,1500,Live Phone
0.44,Politico/Morning Consult,6/2/2017,Registered Voters,1999,Internet
0.37,Gallup,6/2/2017,Adults,1500,Live Phone
0.39,Gallup,6/1/2017,Adults,1500,Live Phone
0.44,Rasmussen,6/1/2017,Likely Voters,1500,IVR/Online
0.42,SurveyMonkey,6/1/2017,Adults,11287,Internet
0.4,Gallup,5/31/2017,Adults,1500,Live Phone
0.43,Rasmussen,5/31/2017,Likely Voters,1500,IVR/Online
0.41,Gallup,5/30/2017,Adults,1500,Live Phone
0.43,Rasmussen,5/30/2017,Likely Voters,1500,IVR/Online
0.38,YouGov/Economist,5/30/2017,Adults,1500,Internet
0.4,Ipsos/Reuters,5/30/2017,Adults,2081,Internet
0.45,Politico/Morning Consult,5/30/2017,Registered Voters,1991,Internet
0.41,Gallup,5/29/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/29/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,5/28/2017,Adults,1500,Live Phone
0.45,Rasmussen,5/28/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,5/27/2017,Adults,1500,Live Phone
0.41,Gallup,5/26/2017,Adults,1500,Live Phone
0.41,Gallup,5/25/2017,Adults,1500,Live Phone
0.46,Rasmussen,5/25/2017,Likely Voters,1500,IVR/Online
0.41,SurveyMonkey,5/25/2017,Adults,11241,Internet
0.39,Gallup,5/24/2017,Adults,1500,Live Phone
0.48,Rasmussen,5/24/2017,Likely Voters,1500,IVR/Online
0.4,FOX,5/23/2017,Registered Voters,1011,Live Phone
0.39,Gallup,5/23/2017,Adults,1500,Live Phone
0.48,Rasmussen,5/23/2017,Likely Voters,1500,IVR/Online
0.39,YouGov/Economist,5/23/2017,Adults,1500,Internet
0.37,Ipsos/Reuters,5/23/2017,Adults,2000,Internet
0.37,Quinnipiac,5/23/2017,Registered Voters,1404,Live Phone
0.38,Gallup,5/22/2017,Adults,1500,Live Phone
0.46,Politico/Morning Consult,5/22/2017,Registered Voters,1938,Internet
0.46,Rasmussen,5/22/2017,Likely Voters,1500,IVR/Online
0.37,Kaiser FF,5/22/2017,Adults,1025,Live Phone
0.37,Gallup,5/21/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/21/2017,Likely Voters,1500,IVR/Online
0.45,Harris/Harvard,5/20/2017,Registered Voters,2027,Internet
0.38,Gallup,5/20/2017,Adults,1500,Live Phone
0.39,ARG,5/20/2017,Adults,1100,Live Phone
0.37,Gallup,5/19/2017,Adults,1500,Live Phone
0.38,Gallup,5/18/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/18/2017,Likely Voters,1500,IVR/Online
0.41,Politico/Morning Consult,5/18/2017,Registered Voters,1970,Internet
0.38,Ipsos/Reuters,5/18/2017,Adults,1971,Internet
0.4,SurveyMonkey,5/18/2017,Adults,10468,Internet
0.38,Gallup,5/17/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/17/2017,Likely Voters,1500,IVR/Online
0.39,Monmouth University,5/17/2017,Adults,1002,Live Phone
0.38,Gallup,5/16/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/16/2017,Likely Voters,1500,IVR/Online
0.39,YouGov/Economist,5/16/2017,Adults,1500,Internet
0.39,Ipsos/Reuters,5/16/2017,Adults,1868,Internet
0.38,Gallup,5/15/2017,Adults,1500,Live Phone
0.43,Rasmussen,5/15/2017,Likely Voters,1500,IVR/Online
0.43,Politico/Morning Consult,5/14/2017,Registered Voters,2001,Internet
0.4,PPP (D),5/14/2017,Likely Voters,692,IVR/Online
0.38,Gallup,5/14/2017,Adults,1500,Live Phone
0.44,Rasmussen,5/14/2017,Likely Voters,1500,IVR/Online
0.39,NBC/WSJ,5/13/2017,Adults,800,Live Phone
0.39,Gallup,5/13/2017,Adults,1500,Live Phone
0.4,Gallup,5/12/2017,Adults,1500,Live Phone
0.41,Gallup,5/11/2017,Adults,1500,Live Phone
0.45,Rasmussen,5/11/2017,Likely Voters,1500,IVR/Online
0.45,Politico/Morning Consult,5/11/2017,Registered Voters,1731,Internet
0.43,SurveyMonkey,5/11/2017,Adults,10468,Internet
0.38,Gallup,5/10/2017,Adults,1500,Live Phone
0.48,Rasmussen,5/10/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,5/9/2017,Adults,1500,Live Phone
0.47,Rasmussen,5/9/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,5/9/2017,Adults,1500,Internet
0.43,Ipsos/Reuters,5/9/2017,Adults,1830,Internet
0.36,Quinnipiac,5/9/2017,Registered Voters,1078,Live Phone
0.4,Gallup,5/8/2017,Adults,1500,Live Phone
0.46,Rasmussen,5/8/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,5/7/2017,Adults,1500,Live Phone
0.45,Rasmussen,5/7/2017,Likely Voters,1500,IVR/Online
0.44,Politico/Morning Consult,5/6/2017,Registered Voters,1996,Internet
0.4,Gallup,5/6/2017,Adults,1500,Live Phone
0.4,Gallup,5/5/2017,Adults,1500,Live Phone
0.42,Gallup,5/4/2017,Adults,1500,Live Phone
0.46,Rasmussen,5/4/2017,Likely Voters,1500,IVR/Online
0.39,IBD/TIPP,5/4/2017,Adults,904,Live Phone
0.45,SurveyMonkey,5/4/2017,Adults,17300,Internet
0.48,Rasmussen,5/3/2017,Likely Voters,1500,IVR/Online
0.42,Gallup,5/2/2017,Adults,1500,Live Phone
0.49,Rasmussen,5/2/2017,Likely Voters,1500,IVR/Online
0.43,YouGov/Economist,5/2/2017,Adults,1500,Internet
0.44,Ipsos/Reuters,5/2/2017,Adults,2214,Internet
0.42,Gallup,5/1/2017,Adults,1500,Live Phone
0.48,Rasmussen,5/1/2017,Likely Voters,1500,IVR/Online
0.41,Gallup,4/30/2017,Adults,1500,Live Phone
0.48,Politico/Morning Consult,4/30/2017,Registered Voters,1998,Internet
0.47,Rasmussen,4/30/2017,Likely Voters,1500,IVR/Online
0.44,Zogby,4/29/2017,Likely Voters,876,Internet
0.42,Gallup,4/29/2017,Adults,1500,Live Phone
0.43,Gallup,4/28/2017,Adults,1500,Live Phone
0.43,Gallup,4/27/2017,Adults,1500,Live Phone
0.47,Rasmussen,4/27/2017,Likely Voters,1500,IVR/Online
0.32,ICITIZEN,4/27/2017,Adults,1051,Internet
0.46,SurveyMonkey,4/27/2017,Adults,15235,Internet
0.4,Gallup,4/26/2017,Adults,1500,Live Phone
0.45,Rasmussen,4/26/2017,Likely Voters,1500,IVR/Online
0.45,FOX,4/25/2017,Registered Voters,1009,Live Phone
0.39,Gallup,4/25/2017,Adults,1500,Live Phone
0.46,Rasmussen,4/25/2017,Likely Voters,1500,IVR/Online
0.42,YouGov/Economist,4/25/2017,Adults,1500,Internet
0.44,CNN,4/25/2017,Adults,1009,Live Phone
0.41,Ipsos/Reuters,4/25/2017,Adults,2165,Internet
0.4,Gallup,4/24/2017,Adults,1500,Live Phone
0.41,CBS,4/24/2017,Adults,1214,Live Phone
0.51,Politico/Morning Consult,4/24/2017,Registered Voters,2032,Internet
0.47,Rasmussen,4/24/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,4/23/2017,Adults,1500,Live Phone
0.51,Rasmussen,4/23/2017,Likely Voters,1500,IVR/Online
0.45,Kaiser FF,4/23/2017,Adults,1171,Live Phone
0.4,Gallup,4/22/2017,Adults,1500,Live Phone
0.42,Gallup,4/21/2017,Adults,1500,Live Phone
0.43,Gallup,4/20/2017,Adults,1500,Live Phone
0.49,Rasmussen,4/20/2017,Likely Voters,1500,IVR/Online
0.42,Gravis Marketing/Orlando Political Observer,4/20/2017,Registered Voters,1665,IVR/Online
0.42,ABC/Post,4/20/2017,Adults,1004,Live Phone
0.4,NBC/WSJ,4/20/2017,Adults,900,Live Phone
0.39,ARG,4/20/2017,Adults,1100,Live Phone
0.44,SurveyMonkey,4/20/2017,Adults,15855,Internet
0.43,Gallup,4/19/2017,Adults,1500,Live Phone
0.49,Rasmussen,4/19/2017,Likely Voters,1500,IVR/Online
0.43,PPP (D),4/18/2017,Likely Voters,648,IVR/Online
0.34,ICITIZEN,4/18/2017,Adults,1073,Internet
0.42,Gallup,4/18/2017,Adults,1500,Live Phone
0.48,Rasmussen,4/18/2017,Likely Voters,1500,IVR/Online
0.41,YouGov/Economist,4/18/2017,Adults,1500,Internet
0.4,Quinnipiac,4/18/2017,Registered Voters,1062,Live Phone
0.41,Gallup,4/17/2017,Adults,1500,Live Phone
0.48,Harris/Harvard,4/17/2017,Registered Voters,2027,Internet
0.43,Ipsos/Reuters,4/17/2017,Adults,1843,Internet
0.5,Rasmussen,4/17/2017,Likely Voters,1500,IVR/Online
0.5,Rasmussen,4/16/2017,Likely Voters,1500,IVR/Online
0.48,Politico/Morning Consult,4/15/2017,Registered Voters,1992,Internet
0.41,Gallup,4/15/2017,Adults,1500,Live Phone
0.39,Gallup,4/14/2017,Adults,1500,Live Phone
0.4,Gallup,4/13/2017,Adults,1500,Live Phone
0.48,Rasmussen,4/13/2017,Likely Voters,1500,IVR/Online
0.44,SurveyMonkey,4/13/2017,Adults,20020,Internet
0.39,McClatchy/Marist,4/12/2017,Registered Voters,869,Live Phone
0.4,Gallup,4/12/2017,Adults,1500,Live Phone
0.48,Rasmussen,4/12/2017,Likely Voters,1500,IVR/Online
0.35,ICITIZEN,4/12/2017,Adults,1077,Internet
0.4,YouGov/Economist,4/11/2017,Adults,1500,Internet
0.41,Gallup,4/11/2017,Adults,1500,Live Phone
0.47,Rasmussen,4/11/2017,Likely Voters,1500,IVR/Online
0.39,Pew,4/11/2017,Adults,3844,Live Phone/Online
0.4,Gallup,4/10/2017,Adults,1500,Live Phone
0.47,Rasmussen,4/10/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,4/9/2017,Adults,1500,Live Phone
0.43,CBS,4/9/2017,Adults,1006,Live Phone
0.48,Politico/Morning Consult,4/9/2017,Registered Voters,1988,Internet
0.44,Rasmussen,4/9/2017,Likely Voters,1500,IVR/Online
0.4,Gallup,4/8/2017,Adults,1500,Live Phone
0.4,Gallup,4/7/2017,Adults,1500,Live Phone
0.4,Gallup,4/6/2017,Adults,1500,Live Phone
0.45,Rasmussen,4/6/2017,Likely Voters,1500,IVR/Online
